name,length
Peninsula Drive,114.74600000000001
"['Edgemont Road', 'Beach Road']",493.099
Maple Avenue,292.266
Maple Avenue,157.30100000000002
,456.4799999999999
Rawson Hill Drive,83.14
"['Howard Street', 'Selina Street']",184.64800000000002
Harrington Avenue,19.798000000000002
Harrington Avenue,37.793
Rolfe Avenue,75.57600000000001
Rolfe Avenue,76.179
Tatum Road,119.656
Hill Street,361.957
Hill Street,204.49800000000002
Straw Hollow Lane,214.758
Old Oak Street,95.649
Oak Street,127.77800000000002
Oak Street,308.131
Pond Street,44.287
Main Street,26.857
Main Street,54.289
Kingston Street,290.51200000000006
Floral Street,132.63600000000002
South Street,310.024
South Street,275.84000000000003
Kenda Road,233.28799999999998
Dorianna Avenue,171.559
Kenda Road,187.00000000000003
Audubon Drive,133.71300000000002
Audubon Drive,217.41999999999996
Odonnell Avenue,67.448
Odonnell Avenue,427.661
Winslow Street,27.577
Tory Drive,142.899
Walnut Hill Lane,135.07799999999997
Clinton Street,12.334
Clinton Street,284.709
Bow Street,45.589999999999996
Kenda Circle,55.745000000000005
Saxon Lane,127.655
Travis Road,164.696
Keyes House Road,529.231
Bracken Road,166.95700000000002
Walnut Drive,115.169
Walnut Street,279.595
Walnut Street,193.713
Eaton Place,251.692
"['Stringer Dam Road', 'Smith Lane']",203.27200000000002
,3006.338
Boxford Drive,38.953
Westbrook Crossing Drive,23.213
Westbrook Crossing Drive,47.336
Chartwell Circle,206.05999999999997
Commons Drive,258.515
,348.586
Commons Drive,68.986
Joseph Road,61.844
Bracken Road,166.95700000000002
Greenwood Avenue,152.887
Gifford Drive,114.06200000000001
Walnut Street,29.988000000000003
South Street,37.33
South Street,164.65
Oriole Circle,124.46099999999998
Rivelly Street,143.062
Main Street,20.158
Harriet Avenue,81.479
Harriet Avenue,129.12900000000002
Dawson Circle,179.47699999999998
Tanager Drive,484.043
Kinglet Drive,389.854
Kinglet Drive,58.961
Worthington Avenue,75.393
Worthington Avenue,157.61800000000002
Redland Street,143.605
Sandpiper Drive,116.87799999999999
Sandpiper Drive,129.031
Egret Circle,122.66499999999999
Eastern Point Drive,37.463
North Quinsigamond Avenue,132.584
North Quinsigamond Avenue,83.79499999999999
Cobblestone Way,64.446
Elliot Circle,175.78699999999998
Bayberry Circle,102.519
