gid,phasedesig,servicetyp,subtype,geometry
163,3,UG,Primary,"LINESTRING (587540.9803200235 2925413.349832724, 587682.09 2925392.2987875203, 587789.692166144 2925354.0174103845)"
164,1,UG,Primary,"LINESTRING (590447.78 2927394.97, 590447.78 2927394.97, 590447.78 2927394.97, 590343.0524269878 2927413.120692423)"
165,1,OH,Primary,"LINESTRING (590117.7228963062 2926966.80857152, 590113.6921779718 2926964.250386873)"
167,3,OH,Primary,"LINESTRING (590099.00025 2926168.8841, 590062.14 2926050.71)"
168,1,OH,Primary,"LINESTRING (590555.59 2927186.3100000005, 590531.8899999999 2927072.3599999994)"
169,1,OH,Primary,"LINESTRING (591698.19 2927865.13, 591694.7265129704 2927868.4156135763)"
170,1,OH,Primary,"LINESTRING (589670.86 2926953.1099999994, 589639.83 2927083.79)"
171,1,OH,Primary,"LINESTRING (589639.83 2927083.79, 589636.0110214768 2927080.9253181648)"
173,1,OH,Primary,"LINESTRING (589885.6983833432 2927007.21424763, 589905.0444943482 2926908.15)"
174,1,OH,Primary,"LINESTRING (590555.59 2927186.3100000005, 590552.4117243079 2927185.6818221095)"
175,1,OH,Primary,"LINESTRING (590485.42 2926857, 590482.2831298632 2926856.1900064303)"
176,1,OH,Primary,"LINESTRING (590513.4299999997 2926479.869999999, 590510.2419631651 2926480.446597761)"
177,1,OH,Primary,"LINESTRING (590426.7100000001 2926295.68, 590423.4940120205 2926296.0717462874)"
178,1,OH,Primary,"LINESTRING (590062.14 2926050.71, 590057.366078009 2926050.7358418633)"
179,1,OH,Primary,"LINESTRING (589518.7912406644 2926657.0282519762, 589523.0330130892 2926659.2187691927)"
180,3,OH,Primary,"LINESTRING (591462.5099999999 2926949.1999999993, 591454.9399999998 2926839.159999999)"
181,1,OH,Primary,"LINESTRING (591069.9499999998 2926806.8999999994, 591067.7343141321 2926809.2636370216)"
182,1,OH,Primary,"LINESTRING (590866.9199999998 2926735.0299999993, 590863.8759873959 2926738.7076332388)"
183,3,OH,Primary,"LINESTRING (591411.8775571834 2926930.2081699376, 591460.0782576182 2926948.2878726064)"
184,1,OH,Primary,"LINESTRING (591329.3200000002 2927509.6999999993, 591325.5417061808 2927506.7818679274)"
185,3,OH,Primary,"LINESTRING (591373.3513543573 2927339.9669749388, 591329.3200000002 2927509.6999999993)"
186,1,OH,Primary,"LINESTRING (590095.6878623787 2927057.4172570454, 590117.7228963062 2926966.80857152)"
188,1,OH,Primary,"LINESTRING (589885.6983833432 2927007.21424763, 589855.245320422 2927127.3425602624, 589826.5825440781 2927254.2184080333, 589807.4531470377 2927338.6630709153, 589803.4203496571 2927336.108164994)"
166,3,OH,Primary,"LINESTRING (590062.14 2926050.71, 590043.9674561705 2925981.60906377)"
190,1,OH,Primary,"LINESTRING (587844.49 2926929.49, 587937.56 2926952.99)"
191,1,OH,Primary,"LINESTRING (587559.16 2928066.4799999995, 587563.3792861062 2928068.713522718)"
192,3,OH,Primary,"LINESTRING (587783.91 2925842.3899999997, 587805 2925732.1099999994)"
193,3,OH,Primary,"LINESTRING (587761.2300000001 2925963.7599999993, 587782.4352913753 2925850.2817718596)"
194,1,OH,Primary,"LINESTRING (587566.48 2925305.119999999, 587570.74 2925244.3100000005, 587575.439913865 2925245.147740199)"
195,3,OH,Primary,"LINESTRING (587560.4261599149 2925502.3377279174, 587539.7779031051 2925418.1595003977)"
